company_a_name,company_a_address,company_a_state,company_a_activity,company_b_name,company_b_address,company_b_state,company_b_activity,same_entity
KAMAKHYABARI TEA CO,"304 & 305, SIKKIM COMMERCE HOUSE4/1, MIDDLETON STREET, 3RD FLOOR  ",West Bengal,Agriculture & allied,CONSULTVA OPC,"No.338, 3rd Floor, 27th MainHSR Layout 1st Sector  ",Karnataka,Real estate renting and business activities,0
SHUBH LABH ADVERTISING,"Room No. 1/21, Tripathi Bhavan No. 1,Aarey Road, Goregaon (West),  ",Maharashtra,Real estate renting and business activities,SHUBH  LABH  ADVERTISING,"Room No. 1/21, Tripathi Bhavan No. 1,Aarey Road, Goregaon (West),  ",Maharashtra,Real estate renting and business activities,1
KUMAR FLEET MANAGEMENT SERVICES,"OE-103 EWSAKASHNEEM MARG, DLF CITY PHASE - II,  ",Haryana,Real estate renting and business activities,KUMAR FLEET MANAGEMENT SERVICES PRIVATE LIMITED,"OE-103 EWSAKASHNEEM MARG, DLF CITY PHASE - II,  ",Haryana,Real estate renting and business activities,1
MANAC HABITATS,"NO 152, HANUMAN CHAMBERS 2ND MAIN7TH CROSS, CHAMARAJPET  ",Karnataka,Construction,MANAC HABITATS LIMITED,"NO 152, HANUMAN CHAMBERS 2ND MAIN7TH CROSS, CHAMARAJPET  ",Karnataka,Construction,1
RAMATECH ENGINEERING,"B - 802, MAYURDHWAJ APPARTMENTOPP. - ST. LAWRANCE CONVENT SCHOOL, GEETA COLONY  ",Delhi,Manufacturing,K R CHEMICALS,"39,FLAT 204,KALYANNAGARHYDERABAD   ",Telangana,Manufacturing,0
GHAR BAHAR ESTATES,"PLOT NO -14 (W), ASHOK NAGARJANPATH  ",Orissa,Construction,KANHATVA WORLD,"S/F-7 RADHE KRISHNA COMPLEXZONE 2 ,MP NAGAR  ",Madhya Pradesh,Real estate renting and business activities,0
SKBG SCIENTIFIC,A-96SARITA VIHAR  ,Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,SELVI S CATERING,"Flat No.C2, 3rd Floor, Sekkalai KottaiAyyanarpuram, 2nd Street  ",Tamil Nadu,Manufacturing,0
CHANDRALITE ENTERPRISES OPC,"109, Orient Business Centre,Opp. Suraj Plaza, Sayajigunj,  ",Gujarat,Real estate renting and business activities,CHANDRALITEENTERPRISESOPC,"109, Orient Business Centre,Opp. Suraj Plaza, Sayajigunj,  ",Gujarat,Real estate renting and business activities,1
SOUTH INDIA ORGANIC CHEMICALS,"NO. 17, XI MAIN V BLOCK,JAYANAGAR, BANGALORE - 41.BANGALORE  ",Karnataka,Manufacturing,PONVIRAM CHIT FUND,"75, SALAI STREETSINDHUPOONDURAI  ",Tamil Nadu,Financial intermediation,0
BEACON ECOTECH SOLUTION,"373, SECTOR - 3,SHAKTI NAGAR  ",Madhya Pradesh,Real estate renting and business activities,BEACON ECOTECH SOLUTION LIMITED,"373, SECTOR - 3,SHAKTI NAGAR  ",Madhya Pradesh,Real estate renting and business activities,1
DIGITECHS ECOSYSTEM SOLUTIONS,"Bldg 5/801, Amrut AanganKharegaon, Kalwa  ",Maharashtra,Real estate renting and business activities,DIGITECHS ECOSYSTEM SOLUTIONS PVT LTD,"Bldg 5/801, Amrut AanganKharegaon, Kalwa  ",Maharashtra,Real estate renting and business activities,1
CASSIA AGRO EXPORT,"A-17, GOLIMAR GARDEN,NEAR SAHKAR BHAWAN,  ",Rajasthan,Agriculture & allied,CASSIAAGROEXPORT,"A-17, GOLIMAR GARDEN,NEAR SAHKAR BHAWAN,  ",Rajasthan,Agriculture & allied,1
FIRST RUN LOGISTICS,"616, 6th Floor, Maker Chambers V,Nariman Point  ",Maharashtra,Transport storage and communications,ABHIJEET FOODS AGROBASE,JAY MALHAR 52 SHIVAJI HSGSOCIETY RAJARAMPURIP B NO 408  ,Maharashtra,Manufacturing,0
M V P CHITS,"6-1-28, HAJISHERIFF STREETVIZIANAGARAM - 535 001ANDHRA PRADESH.  ",Andhra Pradesh,Financial intermediation,ROYALTOUCH SPA,"SHOP NO. FF-07, TDI MALL, SHIVAJI PLACEDISTT. CENTRE, RAJA GARDEN  ",Delhi,Real estate renting and business activities,0
FAIRDEAL CORPORATE ADVISORS,"A/101, Omkar Meridia, Prabhakar Keluskar Marg,BKC Crossing, Kurla (West),  ",Maharashtra,Real estate renting and business activities,SOLACE HERBALS,11 R R N ROADP O  COOCHBEHAR   ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
IKONIX LABS,"80-B, J.N PharmacityLankelapalem, Parwada  ",Andhra Pradesh,Manufacturing,IKONIX  LABS,"80-B, J.N PharmacityLankelapalem, Parwada  ",Andhra Pradesh,Manufacturing,1
GHOUSE RETAIL WHOLESALE,"MIGH-7,H No:5-3-7,Phase-1,Beside NTR Statue,APHB Colony,  ",Telangana,Real estate renting and business activities,INSPIGO TECHNOLOGIES,24/150 ILLACKAL HOUSECHANGAMPUZHA P OPATHADIPALAM EDAPPALLY  ,Kerala,Real estate renting and business activities,0
SRK MARKETING,"DINDAYAL BULDG,PANCHAPAKHADI (W)  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,GOLDEN KNOT,"HOUSE NO.-110, VAISHALI ENCLAVEPITAMPURA  ",Delhi,Manufacturing,0
SKILL CUBE,"SUNCITY SUCCESS TOWER, UNIT NO. 419-419A4TH FLOOR GOLF COURSE, EXTENSION ROAD, SECTOR 65  ",Haryana,Education,SKILL CUBE LIMITED,"SUNCITY SUCCESS TOWER, UNIT NO. 419-419A4TH FLOOR GOLF COURSE, EXTENSION ROAD, SECTOR 65  ",Haryana,Education,1
ENKAY TRADECOM,"635 & 636 KH, NO-258G/F, FRONT PORTION, SAIDULAJAIB  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,ENKAY TRADECOM PVT LTD,"635 & 636 KH, NO-258G/F, FRONT PORTION, SAIDULAJAIB  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
HYMA AGRO BIOTECH,"LIG HI/51, B.K. GUDASANAT NAGAR  ",Telangana,Agriculture & allied,HYMA AGRO BIOTECH PVT. LTD.,"LIG HI/51, B.K. GUDASANAT NAGAR  ",Telangana,Agriculture & allied,1
WITTBEE EXPERIENTIAL MARKETING,"H. NO - 2531F/F, SEC-46  ",Haryana,Real estate renting and business activities,WITTBEE  EXPERIENTIAL  MARKETING,"H. NO - 2531F/F, SEC-46  ",Haryana,Real estate renting and business activities,1
SELVA KAMAL VENTURES INDIA,"21 A, KUBERAN NAGAR EXTN 7TH STREETMADIPAKKAM  ",Tamil Nadu,Real estate renting and business activities,OM JEWELLERS,SHOP NO 2 3 & 4SHANGRILLA APARTMENTSL T ROAD BORIWALI WEST  ,Maharashtra,Manufacturing,0
TAMILNADU INFOTECH,M.S.S. COMPLEX10 AROKIASAMY ROADR.S. PURAM  ,Tamil Nadu,Real estate renting and business activities,PRASTIGH ENGINEERS AND CONSULTANTS,"11/62, CHERIEL HOUSE, KOILMUCKPANDANKARY P O  ",Kerala,Real estate renting and business activities,0
BAGRODIA SUPERMARKETS,6LYONS RANGE  ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,BAGRODIASUPERMARKETS,6LYONS RANGE  ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
DAFFODIL NETWORKS,"NO. 1306/33, 2ND FLOOR,25TH MAIN, JAYANAGAR 9TH BLOCK,  ",Karnataka,Real estate renting and business activities,DYNAWARE SOFTWARE SYSTEMS,"2 & 3 2ND FLOOR, RAHIMTOOLA HOUSE7 HOMJI STREET, FORT  ",Maharashtra,Real estate renting and business activities,0
CARPUS INTERNATIONAL,"701, ""MILESTONE"" NR. DRIVE IN CINEMA,DRIVE IN ROAD, THALTEJ,  ",Gujarat,Manufacturing,MEENAKSHI INFRAPROJECTS,"333, INDRA COLONY, TEKRI MADRI LINK ROAD   ",Rajasthan,Real estate renting and business activities,0
BHADRACHALAM PROJECTS,"6TH FLOOR,EMERALD HOUSE,S.D.ROAD,SECUNDERABAD   ",Telangana,Construction,BALESHA MILK MILK PRODUCTS,At Post NirveeTaluka Shirur  ,Maharashtra,Manufacturing,0
MORTAR PESTLE HOSPITALITY,"25/5,Lavelle Road, BangaloreWard No.76- Richmond Town  ",Karnataka,Hotels and restaurants,WESLEY IMMIGRATION CONSULTANTS,9-1-125/1Sarojini Devi Road  ,Telangana,Other community social and personal service activities,0
SEA HORSE OILFIELD EQUIPMENTS,"3/1330, NAVJIVAN COMMERCIAL SOCIETY,LAMINGTON ROAD,  ",Maharashtra,Manufacturing,SEA HORSE OILFIELD EQUIPMENTS LIMITED,"3/1330, NAVJIVAN COMMERCIAL SOCIETY,LAMINGTON ROAD,  ",Maharashtra,Manufacturing,1
